source,metric,mean
EFT,I_total_p95,5.193332748030034e-06
Greedy,I_total_p95,0.0
LB-Greedy,I_total_p95,1.2277986421259478e-05
Local-Only,I_total_p95,0.0
Random,I_total_p95,3.648724261571582e-05
Static,I_total_p95,0.0
CP-EFT,I_caused_mean,3.997059967749313e-06
EFT,I_caused_mean,4.512985018341927e-06
Greedy,I_caused_mean,0.0
LB-Greedy,I_caused_mean,4.803410819202251e-06
Local-Only,I_caused_mean,0.0
Random,I_caused_mean,5.732067603977005e-06
Static,I_caused_mean,0.0
CP-EFT,I_caused_p95,6.1983625109252755e-06
EFT,I_caused_p95,5.193332748030034e-06
Greedy,I_caused_p95,0.0
LB-Greedy,I_caused_p95,1.2277986421259478e-05
Local-Only,I_caused_p95,0.0
Random,I_caused_p95,3.648724261571582e-05
Static,I_caused_p95,0.0
CP-EFT,rho_selected_mean,0.6806108358005682
EFT,rho_selected_mean,0.6768270984292031
Greedy,rho_selected_mean,0.720210287719965
LB-Greedy,rho_selected_mean,0.6747488399346669
Local-Only,rho_selected_mean,0.0
Random,rho_selected_mean,0.5480173577864965
Static,rho_selected_mean,0.7322765929003556
CP-EFT,rho_selected_p10,0.4622001390904188
EFT,rho_selected_p10,0.45881829857826234
Greedy,rho_selected_p10,0.5659123157461484
LB-Greedy,rho_selected_p10,0.4675327405333519
Local-Only,rho_selected_p10,0.0
Random,rho_selected_p10,0.4706297516822815
Static,rho_selected_p10,0.5972320732971033
CP-EFT,risk_penalty_mean,0.10110245247681932
EFT,risk_penalty_mean,0.10312549279381827
Greedy,risk_penalty_mean,0.08674450285422301
LB-Greedy,risk_penalty_mean,0.10349134672433133
Local-Only,risk_penalty_mean,0.0
Random,risk_penalty_mean,0.15597853350142635
Static,risk_penalty_mean,0.08120478463048732
CP-EFT,rho_selected_p50,
EFT,rho_selected_p50,
Greedy,rho_selected_p50,
LB-Greedy,rho_selected_p50,
Local-Only,rho_selected_p50,
Random,rho_selected_p50,
Static,rho_selected_p50,
CP-EFT,rho_selected_p95,
EFT,rho_selected_p95,
Greedy,rho_selected_p95,
LB-Greedy,rho_selected_p95,
Local-Only,rho_selected_p95,
Random,rho_selected_p95,
Static,rho_selected_p95,
CP-EFT,rho_selected_lt_0p6_rate,
EFT,rho_selected_lt_0p6_rate,
Greedy,rho_selected_lt_0p6_rate,
LB-Greedy,rho_selected_lt_0p6_rate,
Local-Only,rho_selected_lt_0p6_rate,
Random,rho_selected_lt_0p6_rate,
Static,rho_selected_lt_0p6_rate,
CP-EFT,rho_selected_lt_0p7_rate,
EFT,rho_selected_lt_0p7_rate,
Greedy,rho_selected_lt_0p7_rate,
LB-Greedy,rho_selected_lt_0p7_rate,
Local-Only,rho_selected_lt_0p7_rate,
Random,rho_selected_lt_0p7_rate,
