phase,method,policy,metric_id,metric_cn,direction,mean,std,n
前期,Random,Random,subtask_success_rate,子任务成功率,higher,17.031863528070613,2.4863779497707035,333
前期,Static,Static,subtask_success_rate,子任务成功率,higher,71.12337316745601,15.80292585094074,333
前期,当前算法(MAPPO),MAPPO,subtask_success_rate,子任务成功率,higher,83.345160466909,25.708149469205903,333
后期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,62.87015945330298,1.423217633966835e-14,334
后期,EFT,EFT,subtask_success_rate,子任务成功率,higher,66.5083135391924,0.0,334
后期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,95.02369668246445,0.0,334
后期,Local-Only,Local-Only,subtask_success_rate,子任务成功率,higher,89.08629441624365,0.0,334
后期,Random,Random,subtask_success_rate,子任务成功率,higher,17.321016166281755,3.558044084917087e-15,334
后期,Static,Static,subtask_success_rate,子任务成功率,higher,60.14319809069213,0.0,334
后期,当前算法(MAPPO),MAPPO,subtask_success_rate,子任务成功率,higher,97.34146509688708,4.518010266936281,334
中期,CP-EFT,CP-EFT,task_success_rate,任务成功率,higher,25.0,0.0,333
中期,EFT,EFT,task_success_rate,任务成功率,higher,45.0,0.0,333
中期,Greedy,Greedy,task_success_rate,任务成功率,higher,75.0,0.0,333
中期,Local-Only,Local-Only,task_success_rate,任务成功率,higher,55.000000000000014,7.116120256588948e-15,333
中期,Random,Random,task_success_rate,任务成功率,higher,0.0,0.0,333
中期,Static,Static,task_success_rate,任务成功率,higher,30.0,0.0,333
中期,当前算法(MAPPO),MAPPO,task_success_rate,任务成功率,higher,85.97597597597597,17.07158985402354,333
前期,CP-EFT,CP-EFT,task_success_rate,任务成功率,higher,27.38738738738739,7.882233153047243,333
前期,EFT,EFT,task_success_rate,任务成功率,higher,40.570570570570574,9.108051448004273,333
前期,Greedy,Greedy,task_success_rate,任务成功率,higher,73.52852852852853,12.434040307575756,333
前期,Local-Only,Local-Only,task_success_rate,任务成功率,higher,60.270270270270274,9.390407127013784,333
前期,Random,Random,task_success_rate,任务成功率,higher,0.015015015015015015,0.27399831217559556,333
前期,Static,Static,task_success_rate,任务成功率,higher,43.42342342342342,21.38624271351791,333
前期,当前算法(MAPPO),MAPPO,task_success_rate,任务成功率,higher,65.72072072072072,36.89683709250434,333
后期,CP-EFT,CP-EFT,task_success_rate,任务成功率,higher,25.0,0.0,334
后期,EFT,EFT,task_success_rate,任务成功率,higher,45.0,0.0,334
后期,Greedy,Greedy,task_success_rate,任务成功率,higher,75.0,0.0,334
后期,Local-Only,Local-Only,task_success_rate,任务成功率,higher,55.000000000000014,7.116088169834175e-15,334
后期,Random,Random,task_success_rate,任务成功率,higher,0.0,0.0,334
后期,Static,Static,task_success_rate,任务成功率,higher,30.0,0.0,334
后期,当前算法(MAPPO),MAPPO,task_success_rate,任务成功率,higher,85.94311377245509,17.568221306806073,334
中期,CP-EFT,CP-EFT,time_limit_rate,时间上限截断率,lower,100.0,0.0,333
中期,EFT,EFT,time_limit_rate,时间上限截断率,lower,100.0,0.0,333
中期,Greedy,Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,333
中期,Local-Only,Local-Only,time_limit_rate,时间上限截断率,lower,0.0,0.0,333
中期,Random,Random,time_limit_rate,时间上限截断率,lower,100.0,0.0,333
中期,Static,Static,time_limit_rate,时间上限截断率,lower,0.0,0.0,333
中期,当前算法(MAPPO),MAPPO,time_limit_rate,时间上限截断率,lower,0.0,0.0,333
前期,CP-EFT,CP-EFT,time_limit_rate,时间上限截断率,lower,93.09309309309309,25.395315128271186,333
前期,EFT,EFT,time_limit_rate,时间上限截断率,lower,93.69369369369369,24.3442156087373,333
前期,Greedy,Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,333
前期,Local-Only,Local-Only,time_limit_rate,时间上限截断率,lower,0.0,0.0,333
前期,Random,Random,time_limit_rate,时间上限截断率,lower,100.0,0.0,333
前期,Static,Static,time_limit_rate,时间上限截断率,lower,0.0,0.0,333
前期,当前算法(MAPPO),MAPPO,time_limit_rate,时间上限截断率,lower,31.23123123123123,46.413385948088845,333
后期,CP-EFT,CP-EFT,time_limit_rate,时间上限截断率,lower,100.0,0.0,334
后期,EFT,EFT,time_limit_rate,时间上限截断率,lower,100.0,0.0,334
后期,Greedy,Greedy,time_limit_rate,时间上限截断率,lower,0.0,0.0,334
后期,Local-Only,Local-Only,time_limit_rate,时间上限截断率,lower,0.0,0.0,334
后期,Random,Random,time_limit_rate,时间上限截断率,lower,100.0,0.0,334
后期,Static,Static,time_limit_rate,时间上限截断率,lower,0.0,0.0,334
后期,当前算法(MAPPO),MAPPO,time_limit_rate,时间上限截断率,lower,0.0,0.0,334
中期,CP-EFT,CP-EFT,trust_failure_rate,信誉失败率,lower,0.1619718309859155,0.0,333
中期,EFT,EFT,trust_failure_rate,信誉失败率,lower,0.19520547945205483,2.779734475230058e-17,333
中期,Greedy,Greedy,trust_failure_rate,信誉失败率,lower,0.13015184381778735,5.559468950460116e-17,333
中期,Local-Only,Local-Only,trust_failure_rate,信誉失败率,lower,0.0,0.0,333
中期,Random,Random,trust_failure_rate,信誉失败率,lower,0.144578313253012,0.0,333
中期,Static,Static,trust_failure_rate,信誉失败率,lower,0.4857142857142857,0.0,333
中期,当前算法(MAPPO),MAPPO,trust_failure_rate,信誉失败率,lower,0.2263784744462708,0.10276601455698861,333
前期,CP-EFT,CP-EFT,trust_failure_rate,信誉失败率,lower,0.18364075681253986,0.05483114615218298,333
前期,EFT,EFT,trust_failure_rate,信誉失败率,lower,0.20637529175934238,0.048214955546262095,333
前期,Greedy,Greedy,trust_failure_rate,信誉失败率,lower,0.16795580046357853,0.0894061906005578,333
前期,Local-Only,Local-Only,trust_failure_rate,信誉失败率,lower,0.0,0.0,333
前期,Random,Random,trust_failure_rate,信誉失败率,lower,0.17424688401905955,0.05447095411847861,333
前期,Static,Static,trust_failure_rate,信誉失败率,lower,0.39681912551798665,0.1443526597609638,333
前期,当前算法(MAPPO),MAPPO,trust_failure_rate,信誉失败率,lower,0.22517478084360862,0.08922542639291929,333
后期,CP-EFT,CP-EFT,trust_failure_rate,信誉失败率,lower,0.1619718309859155,0.0,334
后期,EFT,EFT,trust_failure_rate,信誉失败率,lower,0.19520547945205483,2.7797219413414745e-17,334
后期,Greedy,Greedy,trust_failure_rate,信誉失败率,lower,0.13015184381778738,2.7797219413414745e-17,334
后期,Local-Only,Local-Only,trust_failure_rate,信誉失败率,lower,0.0,0.0,334
后期,Random,Random,trust_failure_rate,信誉失败率,lower,0.14457831325301201,2.7797219413414745e-17,334
后期,Static,Static,trust_failure_rate,信誉失败率,lower,0.4857142857142857,0.0,334
后期,当前算法(MAPPO),MAPPO,trust_failure_rate,信誉失败率,lower,0.22893954114350362,0.10659608269232522,334
