episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,ratio_local,ratio_rsu,ratio_v2v
16,Random,0.06460763300059844,12.921526600119687,0.55,0.55,0.873015873015873,0.1455,0.14175,0.71275
16,Local-Only,0.08833107216678156,17.666214433356313,0.75,0.75,0.8947368421052632,1.0,0.0,0.0
16,Greedy,-0.09137713015600248,-18.275426031200496,0.0,0.0,0.16393442622950818,0.0,1.0,0.0
17,Random,0.1001131886444036,20.02263772888072,0.75,0.75,0.9565217391304348,0.14675,0.132,0.72125
17,Local-Only,0.13833945945491755,27.66789189098351,0.95,0.95,0.983739837398374,1.0,0.0,0.0
17,Greedy,-0.09223100206550101,-18.446200413100204,0.0,0.0,0.21929824561403508,0.0,1.0,0.0
18,Random,0.11134591343648825,22.26918268729765,0.8,0.8,0.9682539682539683,0.13875,0.1475,0.71375
18,Local-Only,0.10836083368433407,21.672166736866814,0.8,0.8,0.9669421487603306,1.0,0.0,0.0
18,Greedy,-0.09264016097315135,-18.52803219463027,0.0,0.0,0.11864406779661017,0.0,1.0,0.0
19,Random,0.10255719939725907,20.511439879451814,0.7,0.7,0.9459459459459459,0.145,0.14475,0.71025
19,Local-Only,0.05095761244453507,10.191522488907014,0.6,0.6,0.8661417322834646,1.0,0.0,0.0
19,Greedy,-0.09061734339743431,-18.123468679486862,0.0,0.0,0.19672131147540983,0.0,1.0,0.0
20,Random,0.09804271947806706,19.608543895613412,0.7,0.7,0.9487179487179487,0.1365,0.137,0.7265
