episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
3,Local-Only,16.688695444581885,0.08344347722290943,0.0,0.7,0.7,0.7,0.9444444444444444,0.0,1.0,0.0,0.0,1.0,0.189,0.189,0.0,1.0,0.0,0.0,16.688695444581885,16.688695444581885,0.0,20,20,0.0
3,Greedy,13.947594461315036,0.06973797230657518,0.0,0.6,0.6,0.6,0.7586206896551724,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.66,1.0,0.0,0.0,13.947594461315036,13.947594461315036,0.0,20,20,0.0
4,,27.67717230750709,0.14338586153753544,0.013605578406713902,0.9,0.9,0.9,0.9916666666666667,1.0,0.26666666666666666,0.43333333333333335,0.3,0.5023325654896907,0.05275,0.05275,1.055,0.8537846746791423,55.44027434289748,30.7,36.81143611223206,-18.62883823066542,8.01939812374331,20,20,3.460258960723877
4,Random,25.184339170782465,0.12592169585391233,0.0,0.75,0.75,0.75,0.9763779527559056,0.9775280898876404,0.145,0.139,0.716,0.5978146166559835,0.1315,0.1315,0.14,1.0,0.0,71.6,25.184339170782465,25.184339170782465,0.0,20,20,0.0
4,Local-Only,19.17424765496823,0.09587123827484115,0.0,0.75,0.75,0.75,0.9459459459459459,0.0,1.0,0.0,0.0,1.0,0.14825,0.14825,0.0,1.0,0.0,0.0,19.17424765496823,19.17424765496823,0.0,20,20,0.0
4,Greedy,16.999752669759065,0.08499876334879533,0.0,0.65,0.65,0.65,0.8181818181818182,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.96,1.0,0.0,0.0,16.999752669759065,16.999752669759065,0.0,20,20,0.0
5,,29.46326362662467,0.15231631813312335,0.014426781783501307,0.95,0.95,0.95,0.9831932773109243,1.0,0.11016949152542373,0.4661016949152542,0.423728813559322,0.48951948344078844,0.0755,0.0755,0.865,0.8759957291445657,54.36544813872291,31.025000000000002,35.25730741671673,-19.108140722006187,7.633644061901153,20,20,3.47747802734375
5,Random,25.263679338008657,0.1263183966900433,0.0,0.85,0.85,0.85,0.9669421487603306,0.975,0.14325,0.1375,0.71925,0.5993019959285524,0.15525,0.15525,0.085,1.0,0.0,71.925,25.263679338008657,25.263679338008657,0.0,20,20,0.0
5,Local-Only,12.69684276118825,0.06348421380594126,0.0,0.65,0.65,0.65,0.896,0.0,1.0,0.0,0.0,1.0,0.182,0.182,0.0,1.0,0.0,0.0,12.69684276118825,12.69684276118825,0.0,20,20,0.0
5,Greedy,17.43833707476504,0.08719168537382521,0.0,0.7,0.7,0.7,0.865546218487395,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.63,1.0,0.0,0.0,17.43833707476504,17.43833707476504,0.0,20,20,0.0
6,,28.543254572485022,0.1477162728624251,0.017181119586651524,0.9,0.9,0.9,0.9669421487603306,1.0,0.1693548387096774,0.4032258064516129,0.4274193548387097,0.4902305405131774,0.07825,0.07825,0.665,0.8617096144144146,54.75414322689907,31.35,36.5744440523374,-18.17969917456167,7.585858959408385,20,20,3.841386079788208
6,Random,18.78583778960383,0.09392918894801915,0.0,0.7,0.7,0.7,0.9396551724137931,0.9746835443037974,0.138,0.1455,0.7165,0.5947543510370635,0.137,0.137,0.085,1.0,0.0,71.65,18.78583778960383,18.78583778960383,0.0,20,20,0.0
