baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
EFT,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,48.217031089289165,2.472998951288236e-80,39.91617908788554,43.30528415647695,41.588516939935424,41.76036322652308,matched_tail_raw_baseline
Greedy,subtask_success_rate,子任务成功率,higher,120,118,120,110,8,2,0.9322033898305084,4.740932383127202e-24,10.677990143135295,4.273970086486875e-19,10.136604457563312,14.470634458162818,12.355392442407886,9.246086520266324,matched_tail_raw_baseline
LB-Greedy,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,52.882126214432496,7.649179971375679e-85,49.097124915717025,52.800389870552536,50.9852470991244,50.758313379973515,matched_tail_raw_baseline
Local-Only,subtask_success_rate,子任务成功率,higher,120,120,120,117,3,0,0.975,4.334862053967735e-31,22.138124322597108,7.586007915943255e-46,5.043674888342148,6.055066804932189,5.556588786865073,5.648760416273653,matched_tail_raw_baseline
Random,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,257.25917470283554,6.428202420891926e-172,85.42539468544298,86.74616682957625,86.10587772309182,86.25839597952655,matched_tail_raw_baseline
Static,subtask_success_rate,子任务成功率,higher,120,119,120,111,8,1,0.9327731092436975,2.5395880340835406e-24,10.886706158895866,1.3456780319459573e-19,9.765869929504246,14.078322852986506,11.899028811783916,8.133012820512825,matched_tail_raw_baseline
CP-EFT,task_success_rate,任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,54.03404362266724,6.0285651241614155e-123,61.686458333333334,66.20833333333333,64.0,65.0,matched_tail_raw_baseline
EFT,task_success_rate,任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,53.018286182925976,1.9153224424316472e-119,62.228125000000006,66.91666666666667,64.70833333333333,65.0,matched_tail_raw_baseline
Greedy,task_success_rate,任务成功率,higher,120,114,120,98,16,6,0.8596491228070176,1.4774163664785461e-15,13.228104210925943,2.0073521747698464e-26,25.541666666666664,34.35520833333333,29.875,32.5,matched_tail_raw_baseline
LB-Greedy,task_success_rate,任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,72.62481563019517,4.896368140063796e-161,70.853125,74.95833333333333,72.95833333333333,75.0,matched_tail_raw_baseline
Local-Only,task_success_rate,任务成功率,higher,120,113,120,97,16,7,0.8584070796460177,2.5449599180816333e-15,12.242743273702681,1.2160911469487851e-26,11.125,15.271874999999989,13.166666666666666,15.0,matched_tail_raw_baseline
Random,task_success_rate,任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,133.86881381781026,1.4036791341864693e-136,86.125,88.625,87.41666666666667,90.0,matched_tail_raw_baseline
Static,task_success_rate,任务成功率,higher,120,116,120,99,17,4,0.853448275862069,2.956662638312641e-15,13.572324866810991,2.7067553107740136e-27,26.249999999999996,35.37500000000001,30.791666666666668,32.5,matched_tail_raw_baseline
CP-EFT,time_limit_rate,时间上限截断率,lower,120,99,120,99,0,21,1.0,3.155443620884048e-30,23.685438564654024,7.328802658479334e-47,75.83333333333333,89.16666666666667,82.5,100.0,matched_tail_raw_baseline
EFT,time_limit_rate,时间上限截断率,lower,120,106,120,106,0,14,1.0,2.465190328815665e-32,30.016662039607276,2.360766842132399e-57,82.5,93.33333333333333,88.33333333333333,100.0,matched_tail_raw_baseline
Greedy,time_limit_rate,时间上限截断率,lower,120,0,120,0,0,120,,,,,0.0,0.0,0.0,0.0,matched_tail_raw_baseline
LB-Greedy,time_limit_rate,时间上限截断率,lower,120,109,120,109,0,11,1.0,3.0814879110195644e-33,34.33921691276343,1.3656856088028305e-63,85.83333333333333,95.83333333333333,90.83333333333333,100.0,matched_tail_raw_baseline
Local-Only,time_limit_rate,时间上限截断率,lower,120,1,120,1,0,119,1.0,1.0,0.9999999999999999,0.31933959754544616,0.0,2.5,0.8333333333333334,0.0,matched_tail_raw_baseline
Random,time_limit_rate,时间上限截断率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,inf,0.0,100.0,100.0,100.0,100.0,matched_tail_raw_baseline
Static,time_limit_rate,时间上限截断率,lower,120,0,120,0,0,120,,,,,0.0,0.0,0.0,0.0,matched_tail_raw_baseline
CP-EFT,trust_failure_rate,信誉失败率,lower,120,120,120,115,5,0,0.9583333333333334,2.9954333738275217e-28,9.348590005301302,8.026759216818183e-17,0.14339776637585586,0.22205770533923952,0.1853319285585021,0.20902730760550658,matched_tail_raw_baseline
EFT,trust_failure_rate,信誉失败率,lower,120,120,120,115,5,0,0.9583333333333334,2.9954333738275217e-28,9.326293878925915,1.0823867921811445e-16,0.14304387783256348,0.21891241925858168,0.1835361105702054,0.19933712121212116,matched_tail_raw_baseline
Greedy,trust_failure_rate,信誉失败率,lower,120,120,120,115,5,0,0.9583333333333334,2.9954333738275217e-28,8.166480780260878,2.8177010588302172e-14,0.1382932416821769,0.22557426027794553,0.18214387215505218,0.18912126356948078,matched_tail_raw_baseline
LB-Greedy,trust_failure_rate,信誉失败率,lower,120,120,120,115,5,0,0.9583333333333334,2.9954333738275217e-28,9.399998263552138,9.088570739013316e-17,0.14218215405441575,0.21640263650370267,0.18289622708287337,0.208825438027255,matched_tail_raw_baseline
Local-Only,trust_failure_rate,信誉失败率,lower,120,5,120,0,5,115,0.0,0.0625,-2.274623714700579,0.024719431923299236,-0.075,-0.008333333333333333,-0.041666666666666664,0.0,matched_tail_raw_baseline
Random,trust_failure_rate,信誉失败率,lower,120,120,120,115,5,0,0.9583333333333334,2.9954333738275217e-28,9.03453580432329,6.336263401577877e-16,0.13874494342081742,0.21269360209120383,0.1776830809043944,0.2074086719016729,matched_tail_raw_baseline
Static,trust_failure_rate,信誉失败率,lower,120,120,120,115,5,0,0.9583333333333334,2.9954333738275217e-28,7.636541550752349,7.892831521024742e-13,0.1258801030522203,0.21058075184602523,0.1687697272161333,0.18319030953864834,matched_tail_raw_baseline
