source,metric,mean
Greedy,decision_frac_v2v,0.0
LB-Greedy,decision_frac_v2v,0.03162512854928499
Local-Only,decision_frac_v2v,0.0
Random,decision_frac_v2v,0.7651166666666666
Static,decision_frac_v2v,0.0
CP-EFT,avg_power,0.006453380138237098
EFT,avg_power,0.00941345017847047
Greedy,avg_power,1.0
LB-Greedy,avg_power,0.008620328632340784
Local-Only,avg_power,1.0
Random,avg_power,0.6335912030754314
Static,avg_power,1.0
CP-EFT,power_ratio_mean,0.09344106293119701
EFT,power_ratio_mean,0.11422226719149096
Greedy,power_ratio_mean,1.0
LB-Greedy,power_ratio_mean,0.121060112989653
Local-Only,power_ratio_mean,0.0
Random,power_ratio_mean,0.5996718645663555
Static,power_ratio_mean,1.0
CP-EFT,power_ratio_p95,0.7547023569889751
EFT,power_ratio_p95,0.8476678341240828
Greedy,power_ratio_p95,1.0
LB-Greedy,power_ratio_p95,0.857181176465205
Local-Only,power_ratio_p95,0.0
Random,power_ratio_p95,0.9599246175974104
Static,power_ratio_p95,1.0
CP-EFT,episode_time_seconds,18.988333333333333
EFT,episode_time_seconds,19.24666666666667
Greedy,episode_time_seconds,12.15416666666664
LB-Greedy,episode_time_seconds,19.46583333333334
Local-Only,episode_time_seconds,14.742499999999968
Random,episode_time_seconds,20.00000000000001
Static,episode_time_seconds,12.989166666666637
CP-EFT,mean_cft_est,21.62590398478508
EFT,mean_cft_est,22.33142035237948
Greedy,mean_cft_est,12.49133463072775
LB-Greedy,mean_cft_est,22.913766001780832
Local-Only,mean_cft_est,15.589244195302305
Random,mean_cft_est,25.1384135333697
Static,mean_cft_est,13.445923148711502
CP-EFT,mean_cft_completed,7.728456522644011
EFT,mean_cft_completed,7.541674892237381
Greedy,mean_cft_completed,8.769104513982306
LB-Greedy,mean_cft_completed,7.806525974025962
Local-Only,mean_cft_completed,7.740901917920676
Random,mean_cft_completed,0.7824999999999989
Static,mean_cft_completed,8.46891123420853
CP-EFT,task_duration_mean,7.728456522644011
EFT,task_duration_mean,7.541674892237381
Greedy,task_duration_mean,8.769104513982306
LB-Greedy,task_duration_mean,7.806525974025962
Local-Only,task_duration_mean,7.740901917920676
Random,task_duration_mean,0.7824999999999989
Static,task_duration_mean,8.46891123420853
CP-EFT,task_duration_p95,10.554124999999978
EFT,task_duration_p95,10.13024999999998
Greedy,task_duration_p95,11.516958333333308
LB-Greedy,task_duration_p95,10.073583333333314
Local-Only,task_duration_p95,10.77495833333331
Random,task_duration_p95,0.7824999999999989
Static,task_duration_p95,11.485833333333309
CP-EFT,deadline_miss_rate,0.6370833333333333
EFT,deadline_miss_rate,0.6170833333333333
Greedy,deadline_miss_rate,0.26916666666666667
LB-Greedy,deadline_miss_rate,0.7191666666666666
Local-Only,deadline_miss_rate,0.28958333333333336
Random,deadline_miss_rate,0.9954166666666667
Static,deadline_miss_rate,0.29458333333333336
CP-EFT,time_limit_rate,0.7083333333333334
EFT,time_limit_rate,0.8166666666666667
Greedy,time_limit_rate,0.0
LB-Greedy,time_limit_rate,0.85
Local-Only,time_limit_rate,0.0
Random,time_limit_rate,1.0
Static,time_limit_rate,0.0
CP-EFT,illegal_action_rate,0.0
EFT,illegal_action_rate,0.0
Greedy,illegal_action_rate,0.0
LB-Greedy,illegal_action_rate,0.0
Local-Only,illegal_action_rate,0.0
Random,illegal_action_rate,0.0
Static,illegal_action_rate,0.0
CP-EFT,no_task_rate,0.9109520034885842
EFT,no_task_rate,0.907174056060254
Greedy,no_task_rate,0.8040468157722633
LB-Greedy,no_task_rate,0.9201630771498773
Local-Only,no_task_rate,0.8636893384739593
Random,no_task_rate,0.9675520833333333
Static,no_task_rate,0.8205047344496575
CP-EFT,on_task_rate,0.0890479965114157
EFT,on_task_rate,0.09282594393974594
Greedy,on_task_rate,0.1959531842277367
LB-Greedy,on_task_rate,0.07983692285012264
Local-Only,on_task_rate,0.13631066152604057
Random,on_task_rate,0.03244791666666662
Static,on_task_rate,0.17949526555034245
CP-EFT,has_task_available_rate,0.0890479965114157
EFT,has_task_available_rate,0.09282594393974594
Greedy,has_task_available_rate,0.1959531842277367
LB-Greedy,has_task_available_rate,0.07983692285012264
Local-Only,has_task_available_rate,0.13631066152604057
Random,has_task_available_rate,0.03244791666666662
Static,has_task_available_rate,0.17949526555034245
CP-EFT,unified_illegal_trigger_rate,0.0
EFT,unified_illegal_trigger_rate,0.0
Greedy,unified_illegal_trigger_rate,0.0
LB-Greedy,unified_illegal_trigger_rate,0.0
