phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
中期,Static,Static,reward_mean,平均步奖励,higher,0.03740003021575758,0.0070073568696592745,10,10,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.0046318602675455315,0.006576089291423329,10,10,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,0.03895771879957039,0.013037261006082752,10,10,matched_tail_raw_baseline
前期,EFT,EFT,reward_mean,平均步奖励,higher,0.03268648039386519,0.0077617451246819805,10,10,matched_tail_raw_baseline
前期,Greedy,Greedy,reward_mean,平均步奖励,higher,0.04719713729915159,0.006996068457593132,10,10,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,0.03262049536119669,0.007891495689927664,10,10,matched_tail_raw_baseline
前期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,0.00019961684370323993,0.001972220997712009,10,10,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,reward_mean,平均步奖励,higher,0.031366539200189204,0.007576596965504307,10,10,matched_tail_raw_baseline
前期,Random,Random,reward_mean,平均步奖励,higher,-0.0021256616874038197,0.00027087307868986266,10,10,matched_tail_raw_baseline
前期,Static,Static,reward_mean,平均步奖励,higher,0.03740003021575758,0.0070073568696592745,10,10,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.0037540552460995566,0.0038406652319584703,10,10,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,0.03895771879957039,0.013037261006082752,10,10,matched_tail_raw_baseline
后期,EFT,EFT,reward_mean,平均步奖励,higher,0.03268648039386519,0.0077617451246819805,10,10,matched_tail_raw_baseline
后期,Greedy,Greedy,reward_mean,平均步奖励,higher,0.04719713729915159,0.006996068457593132,10,10,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,0.03262049536119669,0.007891495689927664,10,10,matched_tail_raw_baseline
后期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,0.00019961684370323993,0.001972220997712009,10,10,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,reward_mean,平均步奖励,higher,0.031366539200189204,0.007576596965504307,10,10,matched_tail_raw_baseline
后期,Random,Random,reward_mean,平均步奖励,higher,-0.0021256616874038197,0.00027087307868986266,10,10,matched_tail_raw_baseline
后期,Static,Static,reward_mean,平均步奖励,higher,0.03740003021575758,0.0070073568696592745,10,10,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.037637493200600114,0.008844375190563074,10,10,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
中期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
中期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
中期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,10,10,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
中期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
中期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
前期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
前期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
前期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,10,10,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,rho_selected_p10,远端信誉分位数(p10),higher,0.800000011920929,0.0,10,10,matched_tail_raw_baseline
