source,metric,mean
Static,vehicle_sr,0.3520888888888889
CP-EFT,task_sr,0.1857555555555555
EFT,task_sr,0.18171111111111107
Greedy,task_sr,0.27859999999999996
Local-Only,task_sr,0.7022444444444443
Random,task_sr,0.0003777777777777775
Static,task_sr,0.3520888888888889
CP-EFT,subtask_sr,0.5185032564128798
EFT,subtask_sr,0.5117534476869291
Greedy,subtask_sr,0.7405186021257348
Local-Only,subtask_sr,0.9242937521862542
Random,subtask_sr,0.12442481878190288
Static,subtask_sr,0.7738865981519888
CP-EFT,v2v_subtask_sr,0.7871104380326502
EFT,v2v_subtask_sr,0.7836989778580121
Greedy,v2v_subtask_sr,0.0
Local-Only,v2v_subtask_sr,0.0
Random,v2v_subtask_sr,0.48605949599058906
Static,v2v_subtask_sr,0.0
CP-EFT,ratio_local,0.5988833728763502
EFT,ratio_local,0.9358095236830115
Greedy,ratio_local,1.2269938650306666e-06
Local-Only,ratio_local,1.0
Random,ratio_local,0.05944888888888886
Static,ratio_local,0.2194815798306565
CP-EFT,ratio_rsu,0.28174006057452344
EFT,ratio_rsu,0.03328384971799122
Greedy,ratio_rsu,0.9999987730061349
Local-Only,ratio_rsu,0.0
Random,ratio_rsu,0.10671066666666663
Static,ratio_rsu,0.7805184201693434
CP-EFT,ratio_v2v,0.11937656654912641
EFT,ratio_v2v,0.030906626598997282
Greedy,ratio_v2v,0.0
Local-Only,ratio_v2v,0.0
Random,ratio_v2v,0.8338404444444444
Static,ratio_v2v,0.0
CP-EFT,avg_power,0.02750159637142397
EFT,avg_power,0.006949580752739249
Greedy,avg_power,1.0
Local-Only,avg_power,1.0
Random,avg_power,0.6237545179626242
Static,avg_power,1.0
CP-EFT,power_ratio_mean,0.06908887051306585
EFT,power_ratio_mean,0.10885329954604642
Greedy,power_ratio_mean,1.0
Local-Only,power_ratio_mean,0.0
Random,power_ratio_mean,0.5999734970192996
Static,power_ratio_mean,1.0
CP-EFT,power_ratio_p95,0.6245599891768697
EFT,power_ratio_p95,0.7686391856710082
Greedy,power_ratio_p95,1.0
Local-Only,power_ratio_p95,0.0
Random,power_ratio_p95,0.9599790413205995
Static,power_ratio_p95,1.0
CP-EFT,episode_time_seconds,19.96540000000001
EFT,episode_time_seconds,19.948666666666675
Greedy,episode_time_seconds,14.137599999999967
Local-Only,episode_time_seconds,15.248866666666633
Random,episode_time_seconds,20.00000000000001
Static,episode_time_seconds,14.727533333333298
CP-EFT,mean_cft_est,23.945145908343
EFT,mean_cft_est,23.969582019784717
Greedy,mean_cft_est,15.537450159958723
Local-Only,mean_cft_est,16.086434511273676
Random,mean_cft_est,25.1849702709198
Static,mean_cft_est,16.06740909048715
CP-EFT,mean_cft_completed,8.17107532356531
EFT,mean_cft_completed,8.12018839401338
Greedy,mean_cft_completed,10.367254365215087
Local-Only,mean_cft_completed,7.715996734982744
Random,mean_cft_completed,0.07857777777777764
Static,mean_cft_completed,9.797182694603853
CP-EFT,task_duration_mean,8.17107532356531
EFT,task_duration_mean,8.12018839401338
Greedy,task_duration_mean,10.367254365215087
Local-Only,task_duration_mean,7.715996734982744
Random,task_duration_mean,0.07857777777777764
Static,task_duration_mean,9.797182694603853
CP-EFT,task_duration_p95,10.476356666666645
EFT,task_duration_p95,10.44647999999998
Greedy,task_duration_p95,12.815616666666637
Local-Only,task_duration_p95,10.92712333333331
Random,task_duration_p95,0.08120666666666651
Static,task_duration_p95,12.447143333333305
CP-EFT,deadline_miss_rate,0.8142444444444445
EFT,deadline_miss_rate,0.818288888888889
Greedy,deadline_miss_rate,0.7213999999999999
Local-Only,deadline_miss_rate,0.2977555555555555
Random,deadline_miss_rate,0.9996222222222223
