episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
21,EFT,-1.6960577294867607,-339.21154589735215,0.15,0.15,0.46153846153846156,0.7469879518072289,0.9465,0.02925,0.02425,0.9465,0.02925,0.02425,0.01033276665794912,0.19313582538222654,1.0,20.000000000000014,23.888438892364505,11.533333333333308,11.533333333333308,11.969999999999974,0.85,1.0,0.0,0.9375,0.0,9.063884931492794e-07,0.0,7.594036510738533e-11,9.063884931492794e-07,7.594036510738533e-11,0.7233215570449829,0.5,0.08379463106393814,,,,,0.21152448654174805,0.5,210,0.0,0.0,0.0,189,25,0.13227513227513227,25,0.09425,1.45
22,EFT,-7.1573401430720125,-1431.4680286144026,0.3,0.3,0.5439024390243903,0.6956521739130435,0.9375,0.041,0.0215,0.9375,0.041,0.0215,0.008907023123516088,0.14251236997625746,1.0,20.000000000000014,25.894631767272955,7.166666666666657,7.166666666666657,8.799999999999985,0.7,1.0,0.0,0.9225,0.0,1.212835377373267e-05,0.0,0.0001995262282434851,1.212835377373267e-05,0.0001995262282434851,0.6350190043449402,0.4000000059604645,0.12060403823852539,,,,,0.1739177703857422,0.5,248,0.0,0.0,0.0,226,65,0.28761061946902655,65,0.09025,2.08
23,EFT,-4.557520763113119,-911.5041526226237,0.2,0.2,0.4489311163895487,0.6666666666666666,0.94175,0.03125,0.027,0.94175,0.03125,0.027,0.005536339198145702,0.09504444975357428,0.9204707765186658,20.000000000000014,24.028193092346193,6.5999999999999925,6.5999999999999925,8.299999999999986,0.8,1.0,0.0,0.931,0.0,2.550907538534375e-06,0.0,2.6605766478837722e-09,2.550907538534375e-06,2.6605766478837722e-09,0.6168639659881592,0.5,0.12348760664463043,,,,,0.19344495236873627,0.5,226,0.0,0.0,0.0,199,58,0.2914572864321608,58,0.107,1.795
24,EFT,-1.0210822422165018,-204.21644844330035,0.0,0.0,0.38106796116504854,0.7215189873417721,0.95325,0.02175,0.025,0.95325,0.02175,0.025,0.010392625838803725,0.22230215697975889,1.0,20.000000000000014,24.36257553100586,0.0,0.0,0.0,1.0,1.0,0.0,0.94525,0.0,3.3581131901883055e-06,0.0,2.0213964183057875e-11,3.3581131901883055e-06,2.0213964183057875e-11,0.6480820178985596,0.5,0.11201991885900497,,,,,0.25085315108299255,0.5,183,0.0,0.0,0.0,161,33,0.20496894409937888,33,0.0975,1.37
25,EFT,-1.78599951772713,-357.19990354542597,0.4,0.4,0.6244131455399061,0.8653846153846154,0.92025,0.045,0.03475,0.92025,0.045,0.03475,0.015653710088047078,0.1962847659943207,1.0,20.000000000000014,22.455133247375493,9.062499999999984,9.062499999999984,10.694999999999977,0.6,1.0,0.0,0.91025,0.0,5.345657427824335e-06,0.0,1.3009919530571068e-10,5.345657427824335e-06,1.3009919530571068e-10,0.6799658536911011,0.45874127745628357,0.10278791934251785,,,,,0.159279927611351,0.5,317,0.0,0.0,0.0,302,76,0.25165562913907286,76,0.13,2.15
26,EFT,-1.5736100233977235,-314.7220046795447,0.4,0.4,0.7068181818181818,0.8837209302325582,0.9115,0.04425,0.04425,0.9115,0.04425,0.04425,0.015271253606850152,0.1725565379305102,1.0,20.000000000000014,27.191047477722172,7.23749999999999,7.23749999999999,8.414999999999985,0.6,1.0,0.0,0.90225,0.0,2.4217010832217056e-06,0.0,1.0344290007902046e-10,2.4217010832217056e-06,1.0344290007902046e-10,0.7215533256530762,0.5,0.08536715060472488,,,,,0.15743544697761536,0.5,351,0.0,0.0,0.0,333,62,0.18618618618618618,62,0.1825,2.265
27,EFT,-1.6484876338721226,-234.0852440098414,0.3,0.3,0.6273584905660378,0.8854166666666666,0.8996478873239436,0.0630281690140845,0.03732394366197183,0.8996478873239436,0.0630281690140845,0.03732394366197183,0.012585224108215108,0.12541065427133652,1.0,14.199999999999966,16.988109645843497,7.499999999999989,7.499999999999989,10.54999999999998,0.7,0.0,0.0,0.8919014084507042,0.0,3.4648182918317616e-06,0.0,6.468486857258426e-11,3.4648182918317616e-06,6.468486857258426e-11,0.7809128165245056,0.5,0.06309247016906738,,,,,0.17841602861881256,0.5,282,0.0,0.0,0.0,265,21,0.07924528301886792,21,0.1573943661971831,2.6267605633802815
28,EFT,-2.9869683049411697,-597.3936609882339,0.4,0.4,0.6309226932668329,0.8026315789473685,0.9375,0.04025,0.02225,0.9375,0.04025,0.02225,0.008216940963529755,0.13147105541647608,1.0,20.000000000000014,23.27279844284058,7.911111111111097,7.911111111111097,11.219999999999976,0.6,1.0,0.0,0.92825,0.0,6.734782800776884e-06,0.0,2.9150006852773913e-09,6.734782800776884e-06,2.9150006852773913e-09,0.7774987816810608,0.5,0.06477991491556168,,,,,0.18760251998901367,0.5,248,0.0,0.0,0.0,233,18,0.07725321888412018,18,0.089,1.65
29,EFT,-3.287794325385005,-657.558865077001,0.1,0.1,0.5821256038647343,0.7857142857142857,0.93025,0.038,0.03175,0.93025,0.038,0.03175,0.011139601177553396,0.15970754376420637,1.0,20.000000000000014,23.681373596191406,10.14999999999998,10.14999999999998,11.184999999999976,0.9,1.0,0.0,0.92,0.0,4.9025115913536865e-06,0.0,1.1211875872163546e-08,4.9025115913536865e-06,1.1211875872163546e-08,0.6797364950180054,0.5,0.09930183738470078,,,,,0.18535681068897247,0.5,277,0.0,0.0,0.0,251,52,0.20717131474103587,52,0.13925,2.005
30,EFT,-2.3130446590935922,-462.6089318187185,0.45,0.45,0.6463700234192038,0.8617021276595744,0.92975,0.04225,0.028,0.92975,0.04225,0.028,0.009658773784492798,0.13749144177213943,1.0,20.000000000000014,23.239091873168952,7.499999999999989,7.499999999999989,11.639999999999972,0.55,1.0,0.0,0.91825,0.0,1.694072238933586e-06,0.0,5.33907751343321e-10,1.694072238933586e-06,5.33907751343321e-10,0.7235209345817566,0.5,0.08043303340673447,,,,,0.16876985132694244,0.5,279,0.0,0.0,0.0,264,36,0.13636363636363635,36,0.1345,2.005
