episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
21,Random,-4.945750825582933,-989.1501651165867,0.0,0.0,0.1048951048951049,0.4342105263157895,0.07325,0.1105,0.81625,0.07325,0.1105,0.81625,0.626545626839367,0.5970279221358162,0.9559461888172757,20.000000000000014,24.865703582763672,0.0,0.0,0.0,1.0,1.0,0.0,0.974,0.0,1.7448843436795869e-06,1.6651445847171154e-12,9.854899474248668e-08,1.7448843436795869e-06,9.854899474248668e-08,0.5205764174461365,0.5,0.1689070612192154,,,,,0.42080193758010864,0.5,95,0.0,0.0,0.0,52,14,0.2692307692307692,14,0.0635,0.05
22,Random,-2.610562981460543,-522.1125962921086,0.0,0.0,0.15609756097560976,0.5443037974683544,0.06825,0.12625,0.8055,0.06825,0.12625,0.8055,0.6265835668883807,0.5992310886915826,0.9577767946531524,20.000000000000014,25.651086807250977,0.0,0.0,0.0,1.0,1.0,0.0,0.96925,0.0,8.405087896790064e-07,5.461406066969987e-13,4.978598089344644e-10,8.405087896790064e-07,4.978598089344644e-10,0.5446928143501282,0.3333333432674408,0.1589086949825287,,,,,0.36532092094421387,0.5,112,0.0,0.0,0.0,76,22,0.2894736842105263,22,0.07575,0.165
23,Random,-6.876985262277446,-1375.3970524554893,0.0,0.0,0.14489311163895488,0.5119047619047619,0.0685,0.11775,0.81375,0.0685,0.11775,0.81375,0.6275232094411599,0.6001322699314646,0.9594297717742084,20.000000000000014,24.75157928466797,0.0,0.0,0.0,1.0,1.0,0.0,0.967,0.0,2.0476461486396147e-06,3.651822767791746e-12,1.8653743438790116e-08,2.0476461486396147e-06,1.8653743438790116e-08,0.5399805307388306,0.3333333432674408,0.16163700819015503,,,,,0.37106040120124817,0.5,125,0.0,0.0,0.0,84,29,0.34523809523809523,29,0.086,0.155
24,Random,-5.931045410865247,-1186.2090821730494,0.0,0.0,0.09466019417475728,0.49206349206349204,0.0725,0.11975,0.80775,0.0725,0.11975,0.80775,0.6253687013828307,0.596084853242943,0.9563065763530394,20.000000000000014,24.989097595214844,0.0,0.0,0.0,1.0,1.0,0.0,0.97875,0.0,3.522626911944826e-06,3.3924007266511458e-12,3.4686662431226978e-09,3.522626911944826e-06,3.4686662431226978e-09,0.5537824630737305,0.5,0.15334317088127136,,,,,0.3928721845149994,0.5,79,0.0,0.0,0.0,47,10,0.2127659574468085,10,0.053,0.035
25,Random,-3.411936618006613,-682.3873236013226,0.0,0.0,0.1807511737089202,0.5909090909090909,0.0775,0.119,0.8035,0.0775,0.119,0.8035,0.6243928122054403,0.5928377368080654,0.9592913110581678,20.000000000000014,24.099224090576172,0.0,0.0,0.0,1.0,1.0,0.0,0.96675,0.0,1.1523541161295725e-06,1.728079051382947e-12,3.2014230155752443e-10,1.1523541161295725e-06,3.2014230155752443e-10,0.5730876922607422,0.5,0.14572739601135254,,,,,0.3741967976093292,0.5,121,0.0,0.0,0.0,85,16,0.18823529411764706,16,0.077,0.095
26,Random,-5.200660930434605,-1040.132186086921,0.0,0.0,0.17272727272727273,0.6170212765957447,0.07925,0.1325,0.78825,0.07925,0.1325,0.78825,0.6272124006395257,0.5951261478572087,0.962392704766931,20.000000000000014,26.067596435546875,0.0,0.0,0.0,1.0,1.0,0.0,0.96725,0.0,3.3039320896932622e-06,2.324394799899099e-12,8.65775717784345e-09,3.3039320896932622e-06,8.65775717784345e-09,0.5865616798400879,0.5,0.13637414574623108,,,,,0.3787025511264801,0.5,118,0.0,0.0,0.0,82,16,0.1951219512195122,16,0.117,0.04
27,Random,-5.416562970423554,-1083.3125940847108,0.0,0.0,0.10849056603773585,0.44285714285714284,0.069,0.12,0.811,0.069,0.12,0.811,0.6252196095826956,0.5974431896699197,0.9584368584368161,20.000000000000014,25.79022789001465,0.0,0.0,0.0,1.0,1.0,0.0,0.97775,0.0,4.735135917144362e-06,2.284065514848721e-12,7.475467214135278e-07,4.735135917144362e-06,7.475467214135278e-07,0.5673635601997375,0.5,0.14580999314785004,,,,,0.42511609196662903,0.5,82,0.0,0.0,0.0,43,2,0.046511627906976744,2,0.048,0.06
28,Random,-8.495429063016804,-1699.0858126033609,0.0,0.0,0.1172069825436409,0.4507042253521127,0.07675,0.12475,0.7985,0.07675,0.12475,0.7985,0.6277352051583405,0.5967887410325916,0.960221104954752,20.000000000000014,25.369604110717773,0.0,0.0,0.0,1.0,1.0,0.0,0.9755,0.0,1.0308734090358485e-05,7.785844885477289e-12,4.783852637046948e-05,1.0308734090358485e-05,4.783852637046948e-05,0.5295698046684265,0.5,0.16394560039043427,,,,,0.43817204236984253,0.5,93,0.0,0.0,0.0,54,12,0.2222222222222222,12,0.08325,0.065
29,Random,-11.852821936837865,-2370.564387367573,0.0,0.0,0.1497584541062802,0.5443037974683544,0.07725,0.11825,0.8045,0.07725,0.11825,0.8045,0.63023197518749,0.5992760500541747,0.9616471990851392,20.000000000000014,24.920787811279297,0.0,0.0,0.0,1.0,1.0,0.0,0.97175,0.0,1.6892823623493314e-05,5.771780275942717e-11,0.0001995262282434851,1.6892823623493314e-05,0.0001995262282434851,0.571218729019165,0.5,0.14499415457248688,,,,,0.39732521772384644,0.5,104,0.0,0.0,0.0,68,12,0.17647058823529413,12,0.08275,0.11
30,Random,-8.07049864277,-1614.099728554,0.0,0.0,0.11943793911007025,0.4927536231884058,0.072,0.11275,0.81525,0.072,0.11275,0.81525,0.6383431285911183,0.6102835437404309,0.9632733394555137,20.000000000000014,26.078479766845703,0.0,0.0,0.0,1.0,1.0,0.0,0.97375,0.0,3.2860098144738004e-06,7.494833746679586e-12,6.506036243081326e-08,3.2860098144738004e-06,6.506036243081326e-08,0.5571011304855347,0.5,0.15086129307746887,,,,,0.4043525159358978,0.5,95,0.0,0.0,0.0,60,13,0.21666666666666667,13,0.071,0.1
