window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
末300,当前算法(MAPPO),MAPPO,300,0.4147316487744621,0.0,0.0,0.0,0.0,0.0011195054947062465,0.0011195054947062465,0.9976306510796985,0.9976306510796985,0.001249843425595021,0.001249843425595021
末500,CP-EFT,CP-EFT,20,0.4269960875766173,0.0,0.0,0.0,0.0,0.6561240023586992,0.6561240023586992,0.3117982958679372,0.3117982958679372,0.03207770177336359,0.03207770177336359
末500,EFT,EFT,20,0.40399573384968956,0.0,0.0,0.0,0.0,0.6035749427132214,0.6035749427132214,0.37849539648132524,0.37849539648132524,0.017929660805453308,0.017929660805453308
末500,Greedy,Greedy,20,0.44450589462456025,0.0,0.0,0.0,0.0,0.5655241880072839,0.5655241880072839,0.43181870143017076,0.43181870143017076,0.0026571105625453153,0.0026571105625453153
末500,LB-Greedy,LB-Greedy,20,0.40290895091627144,0.0,0.0,0.0,0.0,0.6046424948774087,0.6046424948774087,0.3773875063664552,0.3773875063664552,0.017969998756136085,0.017969998756136085
末500,Local-Only,Local-Only,20,0.20845268635981778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末500,Oracle-Min,Oracle-Min,20,0.40889562998592466,0.0,0.0,0.0,0.0,0.5990621354539458,0.5990621354539458,0.38204763830826816,0.38204763830826816,0.01889022623778599,0.01889022623778599
末500,Random,Random,20,0.0410188534739606,0.0,0.0,0.0,0.0,0.15716376449243363,0.15716376449243363,0.1617460750338727,0.1617460750338727,0.6810901604736935,0.6810901604736935
末500,Static,Static,20,0.38015083396794364,0.0,0.0,0.0,0.0,0.023821520436632222,0.023821520436632222,0.976178479563368,0.976178479563368,0.0,0.0
末500,当前算法(MAPPO),MAPPO,500,0.4004010499380397,0.0,0.0,0.0,0.0,0.006096166813077837,0.006096166813077837,0.974624642716036,0.974624642716036,0.019279190470886214,0.019279190470886214
