phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
中期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.49146937385102046,0.018974090287968485,20,20,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.002641619160703385,0.0019826171637760855,20,20,matched_tail_raw_baseline
前期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.0019878830169087185,0.0027090398423182368,20,20,matched_tail_raw_baseline
前期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.002074599966334258,0.0030352136150392194,20,20,matched_tail_raw_baseline
前期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,20,20,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
前期,Random,Random,power_ratio_mean,远端功率比例,lower,0.5992298396518979,0.004214018317869571,20,20,matched_tail_raw_baseline
前期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.5204474128756156,0.012750294472270276,20,20,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.002641619160703385,0.0019826171637760855,20,20,matched_tail_raw_baseline
后期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.0019878830169087185,0.0027090398423182368,20,20,matched_tail_raw_baseline
后期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.002074599966334258,0.0030352136150392194,20,20,matched_tail_raw_baseline
后期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,20,20,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
后期,Random,Random,power_ratio_mean,远端功率比例,lower,0.5992298396518979,0.004214018317869571,20,20,matched_tail_raw_baseline
后期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,20,20,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.4994475071147851,0.012642119114306679,20,20,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,0.04124642744661048,0.01453327332896687,20,20,matched_tail_raw_baseline
中期,EFT,EFT,reward_mean,平均步奖励,higher,0.03679005678666836,0.007996957315383661,20,20,matched_tail_raw_baseline
中期,Greedy,Greedy,reward_mean,平均步奖励,higher,0.051045778575382714,0.007112033306401652,20,20,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,0.036691307685898636,0.008016606187997946,20,20,matched_tail_raw_baseline
中期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.0012579025440998602,0.0018547498025298734,20,20,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,reward_mean,平均步奖励,higher,0.03666450584874498,0.008927089356718472,20,20,matched_tail_raw_baseline
中期,Random,Random,reward_mean,平均步奖励,higher,-0.0021540296694902202,0.00023134217518955833,20,20,matched_tail_raw_baseline
中期,Static,Static,reward_mean,平均步奖励,higher,0.03995311193860418,0.008467535489560366,20,20,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.01807593602570702,0.01655286818290781,20,20,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,0.04124642744661048,0.01453327332896687,20,20,matched_tail_raw_baseline
前期,EFT,EFT,reward_mean,平均步奖励,higher,0.03679005678666836,0.007996957315383661,20,20,matched_tail_raw_baseline
前期,Greedy,Greedy,reward_mean,平均步奖励,higher,0.051045778575382714,0.007112033306401652,20,20,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,0.036691307685898636,0.008016606187997946,20,20,matched_tail_raw_baseline
前期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.0012579025440998602,0.0018547498025298734,20,20,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,reward_mean,平均步奖励,higher,0.03666450584874498,0.008927089356718472,20,20,matched_tail_raw_baseline
前期,Random,Random,reward_mean,平均步奖励,higher,-0.0021540296694902202,0.00023134217518955833,20,20,matched_tail_raw_baseline
前期,Static,Static,reward_mean,平均步奖励,higher,0.03995311193860418,0.008467535489560366,20,20,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,0.03573665928561236,0.013680072269164671,20,20,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,0.04124642744661048,0.01453327332896687,20,20,matched_tail_raw_baseline
后期,EFT,EFT,reward_mean,平均步奖励,higher,0.03679005678666836,0.007996957315383661,20,20,matched_tail_raw_baseline
后期,Greedy,Greedy,reward_mean,平均步奖励,higher,0.051045778575382714,0.007112033306401652,20,20,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,0.036691307685898636,0.008016606187997946,20,20,matched_tail_raw_baseline
