window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
末300,EFT,EFT,120,0.09282594393974594,0.0,0.0,0.0,0.0,0.9169441234879453,0.9169441234879453,0.049087244784258376,0.049087244784258376,0.033968631727796406,0.033968631727796406
末300,Greedy,Greedy,120,0.19595318422773664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末300,LB-Greedy,LB-Greedy,120,0.07983692285012266,0.0,0.0,0.0,0.0,0.927503799763866,0.927503799763866,0.04087107168684886,0.04087107168684886,0.03162512854928499,0.03162512854928499
末300,Local-Only,Local-Only,120,0.13631066152604054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末300,Random,Random,120,0.03244791666666662,0.0,0.0,0.0,0.0,0.08472916666666667,0.08472916666666667,0.15015416666666667,0.15015416666666667,0.7651166666666666,0.7651166666666666
末300,Static,Static,120,0.17949526555034248,0.0,0.0,0.0,0.0,0.19300101067060718,0.19300101067060718,0.8069989893293928,0.8069989893293928,0.0,0.0
末300,当前算法(MAPPO),MAPPO,300,0.02836999999999996,0.0,0.0,0.0,0.0,0.025908404926863592,0.025908404926863592,0.06558145406450842,0.06558145406450842,0.9085101410086277,0.9085101410086277
末500,CP-EFT,CP-EFT,120,0.08904799651141572,0.0,0.0,0.0,0.0,0.9301306639348749,0.9301306639348749,0.04125861198223588,0.04125861198223588,0.028610724082889248,0.028610724082889248
末500,EFT,EFT,120,0.09282594393974594,0.0,0.0,0.0,0.0,0.9169441234879453,0.9169441234879453,0.049087244784258376,0.049087244784258376,0.033968631727796406,0.033968631727796406
末500,Greedy,Greedy,120,0.19595318422773664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末500,LB-Greedy,LB-Greedy,120,0.07983692285012266,0.0,0.0,0.0,0.0,0.927503799763866,0.927503799763866,0.04087107168684886,0.04087107168684886,0.03162512854928499,0.03162512854928499
末500,Local-Only,Local-Only,120,0.13631066152604054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末500,Random,Random,120,0.03244791666666662,0.0,0.0,0.0,0.0,0.08472916666666667,0.08472916666666667,0.15015416666666667,0.15015416666666667,0.7651166666666666,0.7651166666666666
末500,Static,Static,120,0.17949526555034248,0.0,0.0,0.0,0.0,0.19300101067060718,0.19300101067060718,0.8069989893293928,0.8069989893293928,0.0,0.0
末500,当前算法(MAPPO),MAPPO,500,0.028130499999999958,0.0,0.0,0.0,0.0,0.027179799934848734,0.027179799934848734,0.06386588535755387,0.06386588535755387,0.9089543147075974,0.9089543147075974
