episode,step,veh_id,target,power,reward,q_len
1,21,6,4,0.781,-0.032,0
1,21,7,5,0.552,-0.032,0
1,21,8,1,0.799,-0.032,0
1,21,9,6,0.641,-0.032,0
1,21,10,11,0.579,-0.032,0
1,21,11,12,0.743,-0.032,0
1,22,0,4,0.227,-0.118,0
1,22,1,2,0.647,-0.118,0
1,22,2,8,0.548,-0.118,0
1,22,3,5,0.614,-0.118,0
1,22,4,9,0.210,-0.118,0
1,22,5,12,0.552,-0.118,0
1,22,6,12,0.731,-0.118,0
1,22,7,10,0.613,-0.118,0
1,22,8,10,0.477,-0.118,0
1,22,9,11,0.562,-0.118,0
1,22,10,6,0.484,-0.118,0
1,22,11,7,0.511,-0.118,0
1,23,0,8,0.859,-0.002,0
1,23,1,6,0.824,-0.002,0
1,23,2,0,0.369,-0.002,0
1,23,3,10,0.299,-0.002,0
1,23,4,8,0.790,-0.002,0
1,23,5,4,0.305,-0.002,0
1,23,6,5,0.616,-0.002,0
1,23,7,8,0.546,-0.002,0
1,23,8,12,0.750,-0.002,0
1,23,9,7,0.176,-0.002,0
1,23,10,5,0.267,-0.002,0
1,23,11,12,0.639,-0.002,0
1,24,0,11,0.474,-0.120,0
1,24,1,1,0.177,-0.120,0
1,24,2,5,0.717,-0.120,0
1,24,3,1,0.576,-0.120,0
1,24,4,1,0.491,-0.120,0
1,24,5,8,0.274,-0.120,0
1,24,6,8,0.497,-0.120,0
1,24,7,11,0.601,-0.120,0
1,24,8,8,0.758,-0.120,0
1,24,9,5,0.713,-0.120,0
1,24,10,9,0.540,-0.120,0
1,24,11,9,0.227,-0.120,0
1,25,0,5,0.365,0.043,0
1,25,1,8,0.727,0.043,0
1,25,2,11,0.737,0.043,0
1,25,3,11,0.546,0.043,0
1,25,4,3,0.630,0.043,0
1,25,5,10,0.530,0.043,0
1,25,6,1,0.759,0.043,0
1,25,7,1,0.470,0.043,0
1,25,8,8,0.529,0.043,0
1,25,9,3,0.260,0.043,0
1,25,10,0,0.634,0.043,0
1,25,11,0,0.392,0.043,0
1,26,0,0,0.178,0.635,0
1,26,1,6,0.720,0.635,0
1,26,2,1,0.490,0.635,0
1,26,3,10,0.263,0.635,0
1,26,4,6,0.439,0.635,0
1,26,5,10,0.411,0.635,0
1,26,6,1,0.242,0.635,0
1,26,7,2,0.034,0.635,0
1,26,8,11,0.105,0.635,0
1,26,9,1,0.304,0.635,0
1,26,10,4,0.329,0.635,0
1,26,11,0,0.388,0.635,0
1,27,0,9,0.712,-0.003,0
1,27,1,11,0.352,-0.003,0
1,27,2,1,0.560,-0.003,0
1,27,3,3,0.454,-0.003,0
1,27,4,3,0.158,-0.003,0
1,27,5,2,0.656,-0.003,0
1,27,6,10,0.542,-0.003,0
1,27,7,5,0.635,-0.003,0
1,27,8,10,0.433,-0.003,0
1,27,9,1,0.617,-0.003,0
1,27,10,8,0.174,-0.003,0
1,27,11,3,0.174,-0.003,0
1,28,0,1,0.493,-0.002,0
1,28,1,2,0.396,-0.002,0
1,28,2,5,0.415,-0.002,0
1,28,3,11,0.232,-0.002,0
1,28,4,7,0.635,-0.002,0
1,28,5,10,0.702,-0.002,0
1,28,6,11,0.393,-0.002,0
1,28,7,5,0.509,-0.002,0
1,28,8,3,0.310,-0.002,0
1,28,9,0,0.607,-0.002,0
1,28,10,8,0.337,-0.002,0
1,28,11,12,0.643,-0.002,0
1,29,0,4,0.550,-0.089,0
1,29,1,4,0.144,-0.089,0
1,29,2,4,0.374,-0.089,0
1,29,3,6,0.428,-0.089,0
1,29,4,3,0.630,-0.089,0
1,29,5,7,0.255,-0.089,0
1,29,6,5,0.426,-0.089,0
1,29,7,9,0.707,-0.089,0
1,29,8,3,0.764,-0.089,0
1,29,9,3,0.879,-0.089,0
1,29,10,5,0.447,-0.089,0
1,29,11,12,0.293,-0.089,0
1,30,0,3,0.140,-0.020,0
1,30,1,10,0.414,-0.020,0
1,30,2,12,0.298,-0.020,0
1,30,3,12,0.672,-0.020,0
1,30,4,6,0.279,-0.020,0
1,30,5,1,0.442,-0.020,0
1,30,6,9,0.684,-0.020,0
1,30,7,0,0.440,-0.020,0
1,30,8,7,0.211,-0.020,0
1,30,9,1,0.159,-0.020,0
