window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,rank
末300,Random,Random,mean_cft_est,平均完工时间估计,lower,25.562475204467773,0.0,25.562475204467773,25.562475204467773,25.562475204467773,25.562475204467773,25.562475204467773,300,8.0
末500,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.36260184024809,1.743422984086792,9.299999999999985,11.153984279632546,13.785326411247242,11.209048187913876,11.519077651762467,500,1.0
末500,Static,Static,mean_cft_est,平均完工时间估计,lower,11.682565803527806,0.0,11.682565803527806,11.682565803527806,11.682565803527806,11.682565803527806,11.682565803527806,500,2.0
末500,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.755560407638523,1.7781358652235873e-15,12.755560407638525,12.755560407638525,12.755560407638525,12.755560407638523,12.755560407638523,500,3.0
末500,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,14.973786973953226,1.7781358652235873e-15,14.973786973953224,14.973786973953224,14.973786973953224,14.973786973953226,14.973786973953226,500,4.0
末500,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,21.89670810699463,0.0,21.89670810699463,21.89670810699463,21.89670810699463,21.89670810699463,21.89670810699463,500,5.0
末500,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.342862606048588,3.556271730447175e-15,22.34286260604859,22.34286260604859,22.34286260604859,22.342862606048588,22.342862606048588,500,6.0
末500,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,22.463456459045407,3.556271730447175e-15,22.46345645904541,22.46345645904541,22.46345645904541,22.463456459045407,22.463456459045407,500,7.0
末500,Random,Random,mean_cft_est,平均完工时间估计,lower,25.562475204467773,0.0,25.562475204467773,25.562475204467773,25.562475204467773,25.562475204467773,25.562475204467773,500,8.0
全程,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,1.0
全程,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.16470062468052485,0.015138996003516968,0.1619903606829774,0.1619903606829774,0.1619903606829774,0.1638212859872064,0.16566356573029273,1000,2.0
全程,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.1649357825088281,0.013807793611068507,0.1674344391147743,0.1674344391147743,0.1674344391147743,0.1640664025849791,0.16579523000504298,1000,3.0
全程,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.20015835658120978,0.01752041633724256,0.20328662930350674,0.2047449776341522,0.2047449776341522,0.19897470078598772,0.2012546160760508,1000,4.0
全程,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.45877505975637767,0.025593103997647904,0.4251738111535372,0.46117450371293695,0.4920260280231577,0.45724369477281157,0.4603013244290822,1000,5.0
全程,Random,Random,power_ratio_mean,远端功率比例,lower,0.606091691766138,0.0027269862070810457,0.6026316155434966,0.6069709210970852,0.6069709210970852,0.605916418895563,0.6062508409955578,1000,6.0
全程,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1000,7.0
全程,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1000,7.0
末100,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,1.0
末100,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.16199036068297737,2.7895403077993544e-17,0.1619903606829774,0.1619903606829774,0.1619903606829774,0.16199036068297737,0.16199036068297737,100,2.0
