episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,avg_power,avg_queue_len,avg_rsu_queue
25,EFT,-2.164905008401227,-432.98100168024536,0.35,0.35,0.7292682926829268,0.8365384615384616,0.917,0.0455,0.0375,0.011091776880031181,0.13725,2.655
26,EFT,-2.0659005145342353,-413.1801029068471,0.35,0.35,0.7004716981132075,0.9,0.91175,0.0475,0.04075,0.006803570892663787,0.1565,2.78
27,EFT,-1.9937689219523012,-398.7537843904602,0.3,0.3,0.5842956120092379,0.8351648351648352,0.9355,0.03875,0.02575,0.006310282190856914,0.11775,2.46
28,EFT,-2.089004538823258,-417.80090776465164,0.4,0.4,0.6952595936794582,0.9150943396226415,0.91625,0.04875,0.035,0.0070595499329689235,0.14075,2.83
29,EFT,-2.0199541269578005,-403.99082539156007,0.25,0.25,0.619277108433735,0.8473282442748091,0.9135,0.043,0.0435,0.014820938899467256,0.19925,2.71
30,EFT,-2.2197113508675663,-443.94227017351324,0.25,0.25,0.6391509433962265,0.8738738738738738,0.919,0.04975,0.03125,0.004710460744703347,0.14875,3.21
31,EFT,-2.1129893862926883,-422.59787725853766,0.5,0.5,0.715962441314554,0.8990825688073395,0.9225,0.04575,0.03175,0.0064174032905211795,0.1305,2.915
32,EFT,-2.2333561391851937,-446.67122783703877,0.25,0.25,0.6610978520286396,0.8661417322834646,0.91725,0.04125,0.0415,0.011640644905219613,0.17325,2.58
33,EFT,-2.003436527475654,-400.6873054951308,0.4,0.4,0.6095238095238096,0.8833333333333333,0.915,0.04875,0.03625,0.006567226399948391,0.1575,3.13
34,EFT,-2.026391836301401,-405.27836726028016,0.25,0.25,0.5703883495145631,0.8392857142857143,0.934,0.03275,0.03325,0.008561163308168678,0.131,1.89
35,EFT,-2.046280805055483,-409.2561610110966,0.25,0.25,0.5287081339712919,0.725,0.938,0.03825,0.02375,0.004821515858744833,0.1035,2.855
36,EFT,-1.9979197756169103,-399.58395512338205,0.35,0.35,0.6502347417840375,0.875,0.91925,0.04875,0.032,0.008351813943711919,0.13775,2.885
37,EFT,-2.0872305011809784,-417.4461002361957,0.25,0.25,0.6105769230769231,0.8288288288288288,0.9125,0.05325,0.03425,0.005572957740610318,0.15,3.115
