window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
末100,Greedy,Greedy,100,0.19528927393663476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末100,LB-Greedy,LB-Greedy,100,0.08116892148617069,0.0,0.0,0.0,0.0,0.9261756803810011,0.9261756803810011,0.041522408680802626,0.041522408680802626,0.03230191093819635,0.03230191093819635
末100,Local-Only,Local-Only,100,0.13614283071480074,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末100,Random,Random,100,0.03252249999999995,0.0,0.0,0.0,0.0,0.0849475,0.0849475,0.15013500000000002,0.15013500000000002,0.7649175000000001,0.7649175000000001
末100,Static,Static,100,0.17910945275712525,0.0,0.0,0.0,0.0,0.194755017082053,0.194755017082053,0.805244982917947,0.805244982917947,0.0,0.0
末100,当前算法(MAPPO),MAPPO,100,0.752291193977591,0.0,0.0,0.0,0.0,0.9995795324332687,0.9995795324332687,0.000213970904134159,0.000213970904134159,0.00020649666259719597,0.00020649666259719597
末300,CP-EFT,CP-EFT,120,0.08936054904981816,0.0,0.0,0.0,0.0,0.9296584778773258,0.9296584778773258,0.041479864015267036,0.041479864015267036,0.02886165810740698,0.02886165810740698
末300,EFT,EFT,120,0.0910425264568078,0.0,0.0,0.0,0.0,0.9186294104224113,0.9186294104224113,0.04842918891873506,0.04842918891873506,0.03294140065885356,0.03294140065885356
末300,Greedy,Greedy,120,0.19631229445644963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末300,LB-Greedy,LB-Greedy,120,0.08093845605481102,0.0,0.0,0.0,0.0,0.9264158618370562,0.9264158618370562,0.041413691774698544,0.041413691774698544,0.032170446388245226,0.032170446388245226
末300,Local-Only,Local-Only,120,0.13631066152604054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末300,Random,Random,120,0.03248333333333328,0.0,0.0,0.0,0.0,0.08475,0.08475,0.14982916666666665,0.14982916666666665,0.7654208333333332,0.7654208333333332
末300,Static,Static,120,0.18027087643462986,0.0,0.0,0.0,0.0,0.19318350131949574,0.19318350131949574,0.8068164986805042,0.8068164986805042,0.0,0.0
末300,当前算法(MAPPO),MAPPO,300,0.7367054450238517,0.0,0.0,0.0,0.0,0.9949096759282228,0.9949096759282228,0.0018897573273428103,0.0018897573273428103,0.00320056674443436,0.00320056674443436
末500,CP-EFT,CP-EFT,120,0.08936054904981816,0.0,0.0,0.0,0.0,0.9296584778773258,0.9296584778773258,0.041479864015267036,0.041479864015267036,0.02886165810740698,0.02886165810740698
末500,EFT,EFT,120,0.0910425264568078,0.0,0.0,0.0,0.0,0.9186294104224113,0.9186294104224113,0.04842918891873506,0.04842918891873506,0.03294140065885356,0.03294140065885356
末500,Greedy,Greedy,120,0.19631229445644963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末500,LB-Greedy,LB-Greedy,120,0.08093845605481102,0.0,0.0,0.0,0.0,0.9264158618370562,0.9264158618370562,0.041413691774698544,0.041413691774698544,0.032170446388245226,0.032170446388245226
末500,Local-Only,Local-Only,120,0.13631066152604054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末500,Random,Random,120,0.03248333333333328,0.0,0.0,0.0,0.0,0.08475,0.08475,0.14982916666666665,0.14982916666666665,0.7654208333333332,0.7654208333333332
末500,Static,Static,120,0.18027087643462986,0.0,0.0,0.0,0.0,0.19318350131949574,0.19318350131949574,0.8068164986805042,0.8068164986805042,0.0,0.0
末500,当前算法(MAPPO),MAPPO,500,0.4549071015490796,0.0,0.0,0.0,0.0,0.7301124250022684,0.7301124250022684,0.06850609533852162,0.06850609533852162,0.20138147965921,0.20138147965921
