window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
末100,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,13.80064350051878,1.8557654683498692,11.727248063087439,13.44686533927915,16.30723029613494,13.43908414049385,14.168014334514123,100,100,matched_tail_raw_baseline,1.0
末100,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.497096274185163,1.683136112711189,12.044373556137062,14.545269584655742,16.595619160652152,14.172524408047181,14.830210022499546,100,100,matched_tail_raw_baseline,2.0
末100,Static,Static,mean_cft_est,平均完工时间估计,lower,15.090827039432508,1.7781536290727877,12.937250261306737,14.955543737411478,17.4393163795471,14.750251495833378,15.427756029472333,100,100,matched_tail_raw_baseline,3.0
末100,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.216689836025214,1.542767511343013,14.374759910583464,16.176020784378018,18.029889945983868,15.927214187114215,16.51183340978143,100,100,matched_tail_raw_baseline,4.0
末100,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.29492008132935,1.910530386050751,18.499394127845754,22.88095149993897,23.877049074172977,21.909401296892167,22.650375682160856,100,100,matched_tail_raw_baseline,5.0
末100,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.981632160854346,1.9021952738919343,21.40763332939148,23.471263408660885,24.21852643013001,22.572226184544565,23.333427888724806,100,100,matched_tail_raw_baseline,6.0
末100,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.582297257995606,1.2227469343746824,22.590819427490235,23.754872035980224,24.6659309387207,23.327580242443087,23.81336757827282,100,100,matched_tail_raw_baseline,7.0
末100,Random,Random,mean_cft_est,平均完工时间估计,lower,25.121458818435666,0.5486795507755858,24.515712356567384,25.057730674743652,25.924604797363283,25.013868557024,25.226580461525916,100,100,matched_tail_raw_baseline,8.0
末300,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,13.811333947420101,1.8616070060865377,11.727248063087439,13.58015340328214,16.393204160690296,13.475536571182786,14.137425723387778,120,120,matched_tail_raw_baseline,1.0
末300,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.45518540644644,1.6762014533486302,11.99902902889249,14.515326938629133,16.591134162902822,14.163873863794388,14.751963341005627,120,120,matched_tail_raw_baseline,2.0
末300,Static,Static,mean_cft_est,平均完工时间估计,lower,15.050909377177538,1.8153159798050602,12.919784173965427,14.931241087913495,17.514006055831896,14.712152568028355,15.386419188547116,120,120,matched_tail_raw_baseline,3.0
末300,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364295562084,1.6071905125600146,14.205151466369605,16.176020784378018,18.11473742675779,15.899737396073318,16.473679641413664,120,120,matched_tail_raw_baseline,4.0
末300,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.401763103803,1.7819730052179314,20.10856280517578,22.8894326210022,23.939538841247558,22.056399462642275,22.702649273562432,120,120,matched_tail_raw_baseline,5.0
末300,EFT,EFT,mean_cft_est,平均完工时间估计,lower,23.106564376036324,1.9033825074992212,21.544676057815558,23.481276750564575,24.54176775932312,22.75839479144414,23.429855209481715,120,120,matched_tail_raw_baseline,6.0
末300,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.531626533190412,1.3984062393751377,22.543305139541634,23.73210229873657,24.801691923141483,23.268696972477436,23.771929410346353,120,120,matched_tail_raw_baseline,7.0
末300,Random,Random,mean_cft_est,平均完工时间估计,lower,25.11865399837494,0.5501120725727014,24.496292495727538,25.057730674743652,25.989403533935548,25.016421050886315,25.21017074775696,120,120,matched_tail_raw_baseline,8.0
末500,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,13.811333947420101,1.8616070060865377,11.727248063087439,13.58015340328214,16.393204160690296,13.504058033309358,14.152891829522432,120,120,matched_tail_raw_baseline,1.0
末500,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.45518540644644,1.6762014533486302,11.99902902889249,14.515326938629133,16.591134162902822,14.160927405031504,14.74733852405149,120,120,matched_tail_raw_baseline,2.0
末500,Static,Static,mean_cft_est,平均完工时间估计,lower,15.050909377177538,1.8153159798050602,12.919784173965427,14.931241087913495,17.514006055831896,14.718707033471247,15.380129341506942,120,120,matched_tail_raw_baseline,3.0
末500,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364295562084,1.6071905125600146,14.205151466369605,16.176020784378018,18.11473742675779,15.894154349513823,16.44736495471793,120,120,matched_tail_raw_baseline,4.0
末500,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.401763103803,1.7819730052179314,20.10856280517578,22.8894326210022,23.939538841247558,22.066553202738362,22.694109192879996,120,120,matched_tail_raw_baseline,5.0
